Year,Ethnicity,Sex,Cause,Count,Region
2011,"	Asian & Pacific Islander	",Males,"	DISEASES OF HEART	",452,NYC
2011,"	Asian & Pacific Islander	",Males,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",37,NYC
2011,"	Asian & Pacific Islander	",Males,"	INFLUENZA AND PNEUMONIA	",94,NYC
2011,"	Asian & Pacific Islander	",Males,"	INTENTIONAL SELF-HARM (SUICIDE)	",50,NYC
2011,"	Asian & Pacific Islander	",Males,"	MALIGNANT NEOPLASMS	",550,NYC
2011,"	Asian & Pacific Islander	",Males,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",11,NYC
2011,"	Asian & Pacific Islander	",Males,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",17,NYC
2011,"	Asian & Pacific Islander	",Males,"	PARKINSONS DISEASE	",11,NYC
2011,"	Asian & Pacific Islander	",Males,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",5,NYC
2011,"	Asian & Pacific Islander	",Males,"	SEPTICEMIA	",15,NYC
2011,"	Asian & Pacific Islander	",Males,"	SHORT GESTATION/LBW	",5,NYC
2011,"	Asian & Pacific Islander	",Males,"	TUBERCULOSIS	",10,NYC
2011,"	Asian & Pacific Islander	",Males,"	VIRAL HEPATITIS	",16,NYC
2011,"	Hispanic	",Females,"	ACCIDENTS EXCEPT DRUG POISONING	",52,NYC
2011,"	Hispanic	",Females,"	ALZHEIMERS DISEASE	",90,NYC
2011,"	Hispanic	",Females,"	AORTIC ANEURYSM AND DISSECTION	",12,NYC
2011,"	Hispanic	",Females,"	ASSAULT (HOMICIDE)	",20,NYC
2011,"	Hispanic	",Females,"	ATHEROSCLEROSIS	",15,NYC
2011,"	Hispanic	",Females,"	BENIGN AND UNCERTAIN NEOPLASMS	",17,NYC
2011,"	Hispanic	",Females,"	CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD	",8,NYC
2011,"	Hispanic	",Females,"	CEREBROVASCULAR DISEASE	",179,NYC
2011,"	Hispanic	",Females,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",39,NYC
2011,"	Hispanic	",Females,"	CHRONIC LOWER RESPIRATORY DISEASES	",156,NYC
2011,"	Hispanic	",Females,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",21,NYC
2011,"	Hispanic	",Females,"	DIABETES MELLITUS	",196,NYC
2011,"	Hispanic	",Females,"	DISEASES OF HEART	",1348,NYC
2011,"	Hispanic	",Females,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",83,NYC
2011,"	Hispanic	",Females,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",70,NYC
2011,"	Hispanic	",Females,"	INFLUENZA AND PNEUMONIA	",218,NYC
2011,"	Hispanic	",Females,"	INTENTIONAL SELF-HARM (SUICIDE)	",21,NYC
2011,"	Hispanic	",Females,"	MALIGNANT NEOPLASMS	",1085,NYC
2011,"	Hispanic	",Females,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",42,NYC
2011,"	Hispanic	",Females,"	PARKINSONS DISEASE	",16,NYC
2011,"	Hispanic	",Females,"	PREGNANCY, CHILDBIRTH AND THE PUERPERIUM	",12,NYC
2011,"	Hispanic	",Females,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",56,NYC
2011,"	Hispanic	",Females,"	SEPTICEMIA	",42,NYC
2011,"	Hispanic	",Females,"	SHORT GESTATION/LBW	",16,NYC
2011,"	Hispanic	",Females,"	VIRAL HEPATITIS	",39,NYC
2011,"	Hispanic	",Males,"	ACCIDENTS EXCEPT DRUG POISONING	",180,NYC
2011,"	Hispanic	",Males,"	ALZHEIMERS DISEASE	",38,NYC
2011,"	Hispanic	",Males,"	ANEMIAS	",10,NYC
2011,"	Hispanic	",Males,"	AORTIC ANEURYSM AND DISSECTION	",20,NYC
2011,"	Hispanic	",Males,"	ASSAULT (HOMICIDE)	",115,NYC
2011,"	Hispanic	",Males,"	BENIGN AND UNCERTAIN NEOPLASMS	",18,NYC
2011,"	Hispanic	",Males,"	CEREBROVASCULAR DISEASE	",147,NYC
2011,"	Hispanic	",Males,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",167,NYC
2011,"	Hispanic	",Males,"	CHRONIC LOWER RESPIRATORY DISEASES	",124,NYC
2011,"	Hispanic	",Males,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",37,NYC
2011,"	Hispanic	",Males,"	DIABETES MELLITUS	",200,NYC
2011,"	Hispanic	",Males,"	DISEASES OF HEART	",1201,NYC
2011,"	Hispanic	",Males,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",69,NYC
2011,"	Hispanic	",Males,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",162,NYC
2011,"	Hispanic	",Males,"	INFLUENZA AND PNEUMONIA	",209,NYC
2011,"	Hispanic	",Males,"	INTENTIONAL SELF-HARM (SUICIDE)	",93,NYC
2011,"	Hispanic	",Males,"	MALIGNANT NEOPLASMS	",1144,NYC
2011,"	Hispanic	",Males,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",48,NYC
2011,"	Hispanic	",Males,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",44,NYC
2011,"	Hispanic	",Males,"	PARKINSONS DISEASE	",21,NYC
2011,"	Hispanic	",Males,"	PEPTIC ULCER	",9,NYC
2011,"	Hispanic	",Males,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",145,NYC
2011,"	Hispanic	",Males,"	SEPTICEMIA	",40,NYC
2011,"	Hispanic	",Males,"	SHORT GESTATION/LBW	",12,NYC
2011,"	Hispanic	",Males,"	VIRAL HEPATITIS	",105,NYC
2011,"	Non-Hispanic Black	",Females,"	ACCIDENTS EXCEPT DRUG POISONING	",76,NYC
2011,"	Non-Hispanic Black	",Females,"	ALZHEIMERS DISEASE	",90,NYC
2011,"	Non-Hispanic Black	",Females,"	ANEMIAS	",13,NYC
2011,"	Non-Hispanic Black	",Females,"	AORTIC ANEURYSM AND DISSECTION	",19,NYC
2011,"	Non-Hispanic Black	",Females,"	ASSAULT (HOMICIDE)	",52,NYC
2011,"	Non-Hispanic Black	",Females,"	ATHEROSCLEROSIS	",20,NYC
2011,"	Non-Hispanic Black	",Females,"	BENIGN AND UNCERTAIN NEOPLASMS	",41,NYC
2011,"	Non-Hispanic Black	",Females,"	CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD	",16,NYC
2011,"	Non-Hispanic Black	",Females,"	CEREBROVASCULAR DISEASE	",281,NYC
2011,"	Non-Hispanic Black	",Females,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",39,NYC
2011,"	Non-Hispanic Black	",Females,"	CHRONIC LOWER RESPIRATORY DISEASES	",221,NYC
2011,"	Non-Hispanic Black	",Females,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",29,NYC
2011,"	Non-Hispanic Black	",Females,"	DIABETES MELLITUS	",410,NYC
2011,"	Non-Hispanic Black	",Females,"	DISEASES OF HEART	",2243,NYC
2011,"	Non-Hispanic Black	",Females,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",225,NYC
2011,"	Non-Hispanic Black	",Females,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",144,NYC
2011,"	Non-Hispanic Black	",Females,"	INFLUENZA AND PNEUMONIA	",273,NYC
2011,"	Non-Hispanic Black	",Females,"	MALIGNANT NEOPLASMS	",1918,NYC
2011,"	Non-Hispanic Black	",Females,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",17,NYC
2011,"	Non-Hispanic Black	",Females,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",83,NYC
2011,"	Non-Hispanic Black	",Females,"	PEPTIC ULCER	",22,NYC
2011,"	Non-Hispanic Black	",Females,"	PREGNANCY, CHILDBIRTH AND THE PUERPERIUM	",13,NYC
2011,"	Non-Hispanic Black	",Females,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",65,NYC
2011,"	Non-Hispanic Black	",Females,"	SEPTICEMIA	",52,NYC
2011,"	Non-Hispanic Black	",Females,"	SHORT GESTATION/LBW	",27,NYC
2011,"	Non-Hispanic Black	",Females,"	VIRAL HEPATITIS	",33,NYC
2011,"	Non-Hispanic Black	",Males,"	ACCIDENTS EXCEPT DRUG POISONING	",133,NYC
2011,"	Non-Hispanic Black	",Males,"	ALZHEIMERS DISEASE	",39,NYC
2011,"	Non-Hispanic Black	",Males,"	ANEMIAS	",24,NYC
2011,"	Non-Hispanic Black	",Males,"	AORTIC ANEURYSM AND DISSECTION	",29,NYC
2011,"	Non-Hispanic Black	",Males,"	ASSAULT (HOMICIDE)	",266,NYC
2011,"	Non-Hispanic Black	",Males,"	ATHEROSCLEROSIS	",15,NYC
2011,"	Non-Hispanic Black	",Males,"	BENIGN AND UNCERTAIN NEOPLASMS	",16,NYC
2011,"	Non-Hispanic Black	",Males,"	CEREBROVASCULAR DISEASE	",200,NYC
2011,"	Non-Hispanic Black	",Males,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",66,NYC
2011,"	Non-Hispanic Black	",Males,"	CHRONIC LOWER RESPIRATORY DISEASES	",200,NYC
2011,"	Non-Hispanic Black	",Males,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",31,NYC
2011,"	Non-Hispanic Black	",Males,"	DIABETES MELLITUS	",307,NYC
2011,"	Non-Hispanic Black	",Males,"	DISEASES OF HEART	",1840,NYC
2011,"	Non-Hispanic Black	",Males,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",154,NYC
2011,"	Non-Hispanic Black	",Males,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",277,NYC
2011,"	Non-Hispanic Black	",Males,"	INFLUENZA AND PNEUMONIA	",243,NYC
2011,"	Non-Hispanic Black	",Males,"	INTENTIONAL SELF-HARM (SUICIDE)	",53,NYC
2011,"	Non-Hispanic Black	",Males,"	MALIGNANT NEOPLASMS	",1590,NYC
2011,"	Non-Hispanic Black	",Males,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",45,NYC
2011,"	Non-Hispanic Black	",Males,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",76,NYC
2011,"	Non-Hispanic Black	",Males,"	PEPTIC ULCER	",18,NYC
2011,"	Non-Hispanic Black	",Males,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",135,NYC
2011,"	Non-Hispanic Black	",Males,"	SEPTICEMIA	",54,NYC
2011,"	Non-Hispanic Black	",Males,"	SHORT GESTATION/LBW	",17,NYC
2011,"	Non-Hispanic Black	",Males,"	VIRAL HEPATITIS	",56,NYC
2011,"	Non-Hispanic White	",Females,"	ACCIDENTS EXCEPT DRUG POISONING	",184,NYC
2011,"	Non-Hispanic White	",Females,"	ALZHEIMERS DISEASE	",231,NYC
2011,"	Non-Hispanic White	",Females,"	ANEMIAS	",15,NYC
2011,"	Non-Hispanic White	",Females,"	AORTIC ANEURYSM AND DISSECTION	",27,NYC
2011,"	Non-Hispanic White	",Females,"	ASSAULT (HOMICIDE)	",20,NYC
2011,"	Non-Hispanic White	",Females,"	ATHEROSCLEROSIS	",58,NYC
2011,"	Non-Hispanic White	",Females,"	BENIGN AND UNCERTAIN NEOPLASMS	",73,NYC
2011,"	Non-Hispanic White	",Females,"	CEREBROVASCULAR DISEASE	",466,NYC
2011,"	Non-Hispanic White	",Females,"	CHOLELITHIASIS AND DISORDERS OF GALLBLADDER	",15,NYC
2011,"	Non-Hispanic White	",Females,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",79,NYC
2011,"	Non-Hispanic White	",Females,"	CHRONIC LOWER RESPIRATORY DISEASES	",510,NYC
2011,"	Non-Hispanic White	",Females,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",39,NYC
2011,"	Non-Hispanic White	",Females,"	DIABETES MELLITUS	",253,NYC
2011,"	Non-Hispanic White	",Females,"	DISEASES OF HEART	",5016,NYC
2011,"	Non-Hispanic White	",Females,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",199,NYC
2011,"	Non-Hispanic White	",Females,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",19,NYC
2011,"	Non-Hispanic White	",Females,"	INFLUENZA AND PNEUMONIA	",696,NYC
2011,"	Non-Hispanic White	",Females,"	INTENTIONAL SELF-HARM (SUICIDE)	",68,NYC
2011,"	Non-Hispanic White	",Females,"	MALIGNANT NEOPLASMS	",3373,NYC
2011,"	Non-Hispanic White	",Females,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",19,NYC
2011,"	Non-Hispanic White	",Females,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",76,NYC
2011,"	Non-Hispanic White	",Females,"	PARKINSONS DISEASE	",55,NYC
2011,"	Non-Hispanic White	",Females,"	PEPTIC ULCER	",24,NYC
2011,"	Non-Hispanic White	",Females,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",88,NYC
2011,"	Non-Hispanic White	",Females,"	SEPTICEMIA	",86,NYC
2011,"	Non-Hispanic White	",Females,"	VIRAL HEPATITIS	",32,NYC
2011,"	Non-Hispanic White	",Males,"	ACCIDENTS EXCEPT DRUG POISONING	",272,NYC
2011,"	Non-Hispanic White	",Males,"	ALZHEIMERS DISEASE	",89,NYC
2011,"	Non-Hispanic White	",Males,"	AORTIC ANEURYSM AND DISSECTION	",44,NYC
2011,"	Non-Hispanic White	",Males,"	ASSAULT (HOMICIDE)	",33,NYC
2011,"	Non-Hispanic White	",Males,"	ATHEROSCLEROSIS	",29,NYC
2011,"	Non-Hispanic White	",Males,"	BENIGN AND UNCERTAIN NEOPLASMS	",76,NYC
2011,"	Non-Hispanic White	",Males,"	CEREBROVASCULAR DISEASE	",290,NYC
2011,"	Non-Hispanic White	",Males,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",127,NYC
2011,"	Non-Hispanic White	",Males,"	CHRONIC LOWER RESPIRATORY DISEASES	",444,NYC
2011,"	Non-Hispanic White	",Males,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",55,NYC
2011,"	Non-Hispanic White	",Males,"	DIABETES MELLITUS	",258,NYC
2011,"	Non-Hispanic White	",Males,"	DISEASES OF HEART	",4220,NYC
2011,"	Non-Hispanic White	",Males,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",142,NYC
2011,"	Non-Hispanic White	",Males,"	HUMAN IMMUNODEFICIENCY VIRUS DISEASE	",75,NYC
2011,"	Non-Hispanic White	",Males,"	INFLUENZA AND PNEUMONIA	",646,NYC
2011,"	Non-Hispanic White	",Males,"	INTENTIONAL SELF-HARM (SUICIDE)	",177,NYC
2011,"	Non-Hispanic White	",Males,"	MALIGNANT NEOPLASMS	",3222,NYC
2011,"	Non-Hispanic White	",Males,"	MENTAL DISORDERS DUE TO USE OF ALCOHOL	",60,NYC
2011,"	Non-Hispanic White	",Males,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",89,NYC
2011,"	Non-Hispanic White	",Males,"	PARKINSONS DISEASE	",77,NYC
2011,"	Non-Hispanic White	",Males,"	PEPTIC ULCER	",21,NYC
2011,"	Non-Hispanic White	",Males,"	PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING	",254,NYC
2011,"	Non-Hispanic White	",Males,"	SEPTICEMIA	",75,NYC
2011,"	Non-Hispanic White	",Males,"	SHORT GESTATION/LBW	",15,NYC
2011,"	Non-Hispanic White	",Males,"	VIRAL HEPATITIS	",76,NYC
2007,"	Asian & Pacific Islander	",Females,"	ACCIDENTS EXCEPT DRUG POISONING	",32,NYC
2007,"	Asian & Pacific Islander	",Females,"	ALZHEIMERS DISEASE	",7,NYC
2007,"	Asian & Pacific Islander	",Females,"	AORTIC ANEURYSM AND DISSECTION	",9,NYC
2007,"	Asian & Pacific Islander	",Females,"	ASSAULT (HOMICIDE)	",6,NYC
2007,"	Asian & Pacific Islander	",Females,"	ATHEROSCLEROSIS	",5,NYC
2007,"	Asian & Pacific Islander	",Females,"	BENIGN AND UNCERTAIN NEOPLASMS	",6,NYC
2007,"	Asian & Pacific Islander	",Females,"	CEREBROVASCULAR DISEASE	",70,NYC
2007,"	Asian & Pacific Islander	",Females,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",6,NYC
2007,"	Asian & Pacific Islander	",Females,"	CHRONIC LOWER RESPIRATORY DISEASES	",29,NYC
2007,"	Asian & Pacific Islander	",Females,"	DIABETES MELLITUS	",34,NYC
2007,"	Asian & Pacific Islander	",Females,"	DISEASES OF HEART	",428,NYC
2007,"	Asian & Pacific Islander	",Females,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",22,NYC
2007,"	Asian & Pacific Islander	",Females,"	INFLUENZA AND PNEUMONIA	",58,NYC
2007,"	Asian & Pacific Islander	",Females,"	INTENTIONAL SELF-HARM (SUICIDE)	",22,NYC
2007,"	Asian & Pacific Islander	",Females,"	MALIGNANT NEOPLASMS	",396,NYC
2007,"	Asian & Pacific Islander	",Females,"	NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS	",13,NYC
2007,"	Asian & Pacific Islander	",Females,"	PARKINSONS DISEASE	",5,NYC
2007,"	Asian & Pacific Islander	",Females,"	PEPTIC ULCER	",6,NYC
2007,"	Asian & Pacific Islander	",Females,"	VIRAL HEPATITIS	",7,NYC
2007,"	Asian & Pacific Islander	",Males,"	ACCIDENTS EXCEPT DRUG POISONING	",54,NYC
2007,"	Asian & Pacific Islander	",Males,"	AORTIC ANEURYSM AND DISSECTION	",5,NYC
2007,"	Asian & Pacific Islander	",Males,"	BENIGN AND UNCERTAIN NEOPLASMS	",9,NYC
2007,"	Asian & Pacific Islander	",Males,"	CARDIOVASCULAR DISORDERS IN PERINATAL PERIOD	",5,NYC
2007,"	Asian & Pacific Islander	",Males,"	CEREBROVASCULAR DISEASE	",56,NYC
2007,"	Asian & Pacific Islander	",Males,"	CHRONIC LIVER DISEASE AND CIRRHOSIS	",18,NYC
2007,"	Asian & Pacific Islander	",Males,"	CHRONIC LOWER RESPIRATORY DISEASES	",43,NYC
2007,"	Asian & Pacific Islander	",Males,"	CONGENITAL MALFORMATIONS,DEFORMATIONS	",12,NYC
2007,"	Asian & Pacific Islander	",Males,"	DIABETES MELLITUS	",47,NYC
2007,"	Asian & Pacific Islander	",Males,"	DISEASES OF HEART	",497,NYC
2007,"	Asian & Pacific Islander	",Males,"	ESSENTIAL HYPERTENSION AND RENAL DISEASES	",25,NYC
2007,"	Asian & Pacific Islander	",Males,"	INFLUENZA AND PNEUMONIA	",68,NYC
